POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100101,8100101,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,381634.470314622
2614,ACT556,none,Aranda,Belconnen,Australian Capital Territory,80101100101,8100101,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,381634.470314622
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100102,8100102,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,250281.744349644
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100103,8100103,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,133053.884211451
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100104,8100104,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,306063.563755246
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100105,8100105,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,259328.672794983
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100106,8100106,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,216710.841912806
2614,ACT556,none,Aranda,Belconnen,Australian Capital Territory,80101100106,8100106,801011001,81001,Aranda,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,216710.841912806
2617,ACT559,none,Belconnen,Belconnen,Australian Capital Territory,80101100201,8100201,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,102449.919117648
2617,ACT912,none,Belconnen,Belconnen,Australian Capital Territory,80101100201,8100201,801011002,81002,Belconnen,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,102449.919117648
