POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
2622,NSW3092,NSW178,Oallen,Goulburn Mulwaree,NSW,10102100701,1100701,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,190868431.267792
2622,NSW554,NSW321,Braidwood,Queanbeyan–Palerang,NSW,10102100702,1100702,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,234409059.705404
2622,NSW554,NSW321,Braidwood,Queanbeyan–Palerang,NSW,10102100703,1100703,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,2388211.06598851
2622,NSW554,NSW321,Braidwood,Queanbeyan–Palerang,NSW,10102100704,1100704,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,1286033.66192532
2622,NSW554,NSW321,Braidwood,Queanbeyan–Palerang,NSW,10102100705,1100705,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,1203148.03004298
2622,NSW2474,NSW321,Majors Creek,Queanbeyan–Palerang,NSW,10102100706,1100706,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,63147472.4471998
2622,NSW69,NSW321,Araluen,Queanbeyan–Palerang,NSW,10102100707,1100707,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,121218618.592891
2622,NSW461,NSW321,Bombay,Queanbeyan–Palerang,NSW,10102100708,1100708,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,159388117.353964
2580,NSW2551,NSW321,Mayfield,Queanbeyan–Palerang,NSW,10102100709,1100709,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,91229171.1460159
2622,NSW2955,NSW321,Nerriga,Queanbeyan–Palerang,NSW,10102100710,1100710,101021007,11007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,134211761.108708
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100801,1100801,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,135249.327037424
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100802,1100802,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,308167.393035106
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100803,1100803,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,126612.921261221
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100804,1100804,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,230549.450824156
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100805,1100805,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,111148.578163967
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100806,1100806,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,132809.493078355
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100807,1100807,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,242377.525525804
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100808,1100808,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,149130.059067787
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100809,1100809,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,3293316.79861121
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100810,1100810,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,83103.0640151203
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100811,1100811,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,162749.180676717
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100812,1100812,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,93646.633500725
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100813,1100813,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,213434.73218023
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100814,1100814,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,291706.485067233
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100815,1100815,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,142124.580670953
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100816,1100816,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,302935.711707152
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100817,1100817,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,123968.786236214
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100818,1100818,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,101947.260064796
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100819,1100819,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,159913.966156751
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100820,1100820,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,167043.337032288
2620,NSW2094,NSW321,Karabar,Queanbeyan–Palerang,NSW,10102100821,1100821,101021008,11008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,146408.670964137
