POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
0820,NT91,NT68,Eaton,Darwin,NT,70101100101,7100101,701011001,71001,Darwin Airport,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,14313057.8273718
0800,NT74,NT68,Darwin City,Darwin,NT,70101100204,7100204,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,478533.921293533
0800,NT74,NT68,Darwin City,Darwin,NT,70101100206,7100206,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,444701.623808228
0800,NT74,NT63,Darwin City,Darwin Waterfront Precinct,NT,70101100207,7100207,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,531680.591078334
0800,NT74,NT68,Darwin City,Darwin,NT,70101100208,7100208,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,272541.782410238
0800,NT74,NT68,Darwin City,Darwin,NT,70101100209,7100209,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,119219.548125446
0800,NT74,NT68,Darwin City,Darwin,NT,70101100210,7100210,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,129664.972073764
0800,NT74,NT68,Darwin City,Darwin,NT,70101100211,7100211,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,71799.5767441259
0800,NT74,NT68,Darwin City,Darwin,NT,70101100212,7100212,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,64429.6641712487
0800,NT74,NT68,Darwin City,Darwin,NT,70101100213,7100213,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,63652.9505301714
0800,NT74,NT68,Darwin City,Darwin,NT,70101100214,7100214,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,164116.692344055
0800,NT74,NT68,Darwin City,Darwin,NT,70101100215,7100215,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,98285.484897486
0800,NT74,NT68,Darwin City,Darwin,NT,70101100216,7100216,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,130123.376497179
0800,NT74,NT68,Darwin City,Darwin,NT,70101100217,7100217,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,73222.5899405181
0800,NT74,NT68,Darwin City,Darwin,NT,70101100218,7100218,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,247621.95687291
0820,NT89,NT68,East Point,Darwin,NT,70101100301,7100301,701011003,71003,East Point,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,2349396.52649122
0820,NT99,NT68,Fannie Bay,Darwin,NT,70101100401,7100401,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,279938.425609645
0820,NT99,NT68,Fannie Bay,Darwin,NT,70101100402,7100402,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,368257.951672448
0820,NT99,NT68,Fannie Bay,Darwin,NT,70101100403,7100403,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,327205.530570922
0820,NT99,NT68,Fannie Bay,Darwin,NT,70101100404,7100404,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,510946.100036441
0820,NT257,NT68,The Gardens,Darwin,NT,70101100405,7100405,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,1780002.38397778
0820,NT99,NT68,Fannie Bay,Darwin,NT,70101100406,7100406,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,600724.829560944
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100501,7100501,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,264512.341378719
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100502,7100502,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,310310.838225306
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100504,7100504,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,57879.2324316232
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100505,7100505,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,235378.788059465
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100506,7100506,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,755838.543636207
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100507,7100507,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,207068.899018066
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100508,7100508,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,11828.1917839497
0820,NT161,NT68,Larrakeyah,Darwin,NT,70101100509,7100509,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,26766.9837187636
0820,NT169,NT68,Ludmilla,Darwin,NT,70101100601,7100601,701011006,71006,Ludmilla - The Narrows,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,266018.388089106
0820,NT169,NT68,Ludmilla,Darwin,NT,70101100602,7100602,701011006,71006,Ludmilla - The Narrows,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,126762.150869023
0820,NT169,NT68,Ludmilla,Darwin,NT,70101100603,7100603,701011006,71006,Ludmilla - The Narrows,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,237417.799637701
