POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100101,3100101,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,280642.138250314
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100102,3100102,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,134679.381835267
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100103,3100103,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,1417267.48685824
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100104,3100104,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,191207.353286815
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100105,3100105,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,887833.821135255
4160,QLD3106,QLD288,Wellington Point,Redland,QLD,30101100106,3100106,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,100608.731097263
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100107,3100107,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,99771.2338693403
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100108,3100108,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,176941.115615828
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100109,3100109,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,531600.606149241
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100110,3100110,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,149528.407909457
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100111,3100111,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,175283.521703452
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100112,3100112,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,98748.5984180421
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100113,3100113,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,82442.0837869495
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100114,3100114,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,173740.332246557
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100115,3100115,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,175116.224587037
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100116,3100116,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,318926.923191126
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100117,3100117,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,217520.856059387
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100118,3100118,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,144518.517441079
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100119,3100119,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,175282.807509296
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100120,3100120,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,426188.891405938
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100121,3100121,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,309721.577944351
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100122,3100122,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,128673.119413078
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100123,3100123,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,250273.412491757
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100124,3100124,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,89566.8304555789
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100125,3100125,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,143474.480934313
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100126,3100126,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,140276.459639721
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100127,3100127,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,83438.8157890439
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100128,3100128,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,170311.428418338
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100129,3100129,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,133863.015882984
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100130,3100130,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,210645.223376691
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100131,3100131,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,183237.468589202
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100132,3100132,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,70147.6650831252
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100133,3100133,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,240031.138333321
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100134,3100134,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,251588.84384428
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100135,3100135,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,197419.049415253
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100136,3100136,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,252108.888472497
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100137,3100137,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,115028.257628739
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100138,3100138,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,99112.2946824133
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100139,3100139,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,170866.261362657
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100140,3100140,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,227213.70331062
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100141,3100141,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,218698.262133956
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100142,3100142,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,257235.882707313
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100143,3100143,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,2650329.12263416
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100144,3100144,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,541657.454250138
4161,QLD31,QLD288,Alexandra Hills,Redland,QLD,30101100145,3100145,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,422720.167706899
4155,QLD588,QLD21,Chandler,Brisbane,QLD,30101100201,3100201,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,2460105.41608505
4155,QLD588,QLD21,Chandler,Brisbane,QLD,30101100202,3100202,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,2056005.72036067
4155,QLD588,QLD21,Chandler,Brisbane,QLD,30101100203,3100203,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,3098700.49156977
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100204,3100204,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,2177616.63435079
4155,QLD588,QLD21,Chandler,Brisbane,QLD,30101100205,3100205,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,1784482.45708179
4154,QLD2452,QLD21,Ransome,Brisbane,QLD,30101100206,3100206,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,4725816.90863112
4154,QLD1289,QLD21,Gumdale,Brisbane,QLD,30101100207,3100207,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,769776.624526648
4154,QLD1289,QLD21,Gumdale,Brisbane,QLD,30101100208,3100208,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,1110349.29114407
4154,QLD1289,QLD21,Gumdale,Brisbane,QLD,30101100209,3100209,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,1337266.79813191
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100210,3100210,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,1012909.38358372
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100211,3100211,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,5216242.92399086
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100212,3100212,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,74734.9417843819
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100213,3100213,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,171899.48664283
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100214,3100214,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,62120.5787220597
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100215,3100215,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,199083.586167037
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100216,3100216,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,100413.167191168
4155,QLD588,QLD21,Chandler,Brisbane,QLD,30101100217,3100217,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,2669571.55345977
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100218,3100218,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,137221.840923565
4153,QLD228,QLD21,Belmont,Brisbane,QLD,30101100219,3100219,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,242321.524822205
