POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100101,2100101,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,183156.854827464
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100102,2100102,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,62264.9740432855
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100105,2100105,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,529027.338729914
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100106,2100106,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,408074.653753996
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100107,2100107,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,232066.222761761
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100108,2100108,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,631205.136400998
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100109,2100109,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,264652.71576494
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100110,2100110,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,236683.801144183
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100111,2100111,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,160354.658516318
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100112,2100112,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,218378.400477476
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100113,2100113,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,170223.566948988
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100114,2100114,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,268406.315120632
3352,VIC485,VIC241,Cardigan Village,Ballarat,VIC,20101100115,2100115,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,729978.33904147
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100117,2100117,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,1522169.83724213
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100118,2100118,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,80820.9036793709
3352,VIC484,VIC241,Cardigan,Ballarat,VIC,20101100119,2100119,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,4933066.03419688
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100120,2100120,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,181235.791684404
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100121,2100121,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,280763.243559718
3352,VIC484,VIC241,Cardigan,Ballarat,VIC,20101100122,2100122,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,31509371.6086725
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100123,2100123,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,2260948.94640382
3350,VIC22,VIC241,Alfredton,Ballarat,VIC,20101100124,2100124,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,204758.847945243
3355,VIC1429,VIC241,Lake Gardens,Ballarat,VIC,20101100201,2100201,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,177683.024513683
3355,VIC1429,VIC241,Lake Gardens,Ballarat,VIC,20101100202,2100202,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,507359.338245314
3355,VIC1429,VIC241,Lake Gardens,Ballarat,VIC,20101100203,2100203,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,170939.529692411
3355,VIC1429,VIC241,Lake Gardens,Ballarat,VIC,20101100204,2100204,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,315277.675794453
3350,VIC1925,VIC241,Newington,Ballarat,VIC,20101100205,2100205,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,244810.198492726
3350,VIC1925,VIC241,Newington,Ballarat,VIC,20101100206,2100206,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,308961.478239553
3350,VIC1925,VIC241,Newington,Ballarat,VIC,20101100207,2100207,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,174834.78539734
3350,VIC1441,VIC241,Lake Wendouree,Ballarat,VIC,20101100208,2100208,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,466042.622159428
3350,VIC1441,VIC241,Lake Wendouree,Ballarat,VIC,20101100209,2100209,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,2945382.08377951
