POA_CODE16,LOC_PID,LGA_PID,LOCALITY,LGA,State,sa1_main_2016,sa1_7dig_2016,sa2_main_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,AREA
6284,WA2455,WA428,Cowaramup,Augusta-Margaret River,WA,50101100101,5100101,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,95190656.6908225
6284,WA2455,WA428,Cowaramup,Augusta-Margaret River,WA,50101100102,5100102,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,2658381.47591346
6290,WA2443,WA428,Augusta,Augusta-Margaret River,WA,50101100103,5100103,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,661632.224133015
6290,WA2443,WA428,Augusta,Augusta-Margaret River,WA,50101100104,5100104,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,8178172.79878165
6290,WA2443,WA428,Augusta,Augusta-Margaret River,WA,50101100105,5100105,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,850516.67962804
6290,WA2442,WA428,Leeuwin,Augusta-Margaret River,WA,50101100106,5100106,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,20537507.0489885
6288,WA2449,WA428,Scott River,Augusta-Margaret River,WA,50101100107,5100107,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,135705150.180153
6286,WA2446,WA428,Boranup,Augusta-Margaret River,WA,50101100108,5100108,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,104614889.490897
6288,WA2447,WA428,Karridale,Augusta-Margaret River,WA,50101100109,5100109,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,98544705.1968428
6286,WA2448,WA428,Forest Grove,Augusta-Margaret River,WA,50101100110,5100110,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,127358046.757403
6286,WA2453,WA428,Witchcliffe,Augusta-Margaret River,WA,50101100111,5100111,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,54581258.5911932
6284,WA2458,WA428,Treeton,Augusta-Margaret River,WA,50101100112,5100112,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,118095388.488068
6290,WA2443,WA428,Augusta,Augusta-Margaret River,WA,50101100113,5100113,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,19855461.2633821
6284,WA2455,WA428,Cowaramup,Augusta-Margaret River,WA,50101100114,5100114,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,1299113.79000887
6285,WA2456,WA428,Rosa Glen,Augusta-Margaret River,WA,50101100115,5100115,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,66247402.8863594
6284,WA2064,WA428,Baudin,Augusta-Margaret River,WA,50101100116,5100116,501011001,51001,Augusta,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,341852825.353709
6280,WA3032,WA424,Broadwater,Busselton,WA,50101100202,5100202,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,2129212.35900999
6280,WA2795,WA424,Ambergate,Busselton,WA,50101100203,5100203,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,38338058.69698
6280,WA2800,WA424,Geographe,Busselton,WA,50101100204,5100204,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,262541.085368283
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100205,5100205,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,521386.008186163
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100206,5100206,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,337698.447568576
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100207,5100207,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,269977.229091711
6280,WA3034,WA424,Busselton,Busselton,WA,50101100209,5100209,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,1008679.37191588
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100213,5100213,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,344357.926166164
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100214,5100214,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,1096772.20425037
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100216,5100216,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,231275.763449595
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100217,5100217,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,168387.491377104
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100218,5100218,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,120555.241541373
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100219,5100219,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,339113.808345473
6280,WA3033,WA424,West Busselton,Busselton,WA,50101100220,5100220,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,401695.345215065
6280,WA2798,WA424,Bovell,Busselton,WA,50101100222,5100222,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,13239002.9060399
6280,WA2467,WA424,Vasse,Busselton,WA,50101100223,5100223,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,1518097.43972142
6280,WA2467,WA424,Vasse,Busselton,WA,50101100224,5100224,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,2276978.36770257
6280,WA2802,WA424,Wonnerup,Busselton,WA,50101100226,5100226,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,17332442.8610809
6280,WA2800,WA424,Geographe,Busselton,WA,50101100227,5100227,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,2972005.41938252
6280,WA3295,WA424,Abbey,Busselton,WA,50101100229,5100229,501011002,51002,Busselton,50101,Augusta - Margaret River - Busselton,501,Bunbury,5RWAU,Rest of WA,5,1905084.47666106
